"","geslacht","woon","stap_om_1_aantal","stap_om_2_aantal","stap_om_3_aantal","stap_om_4_aantal","stap_om_5_aantal","stap_om_6_aantal","stap_om_7_aantal","stap_om_week_aantal","stap_om_1_10000"
"120","Man","Uitwonend",6546,4094,5574,4067,4528,7141,1921,33871,FALSE
"121","Vrouw","Uitwonend",7302,0,0,2534,6160,8017,7516,31529,FALSE
"122","Man","Thuiswonend",2649,3412,234,187,1901,3692,4512,16587,FALSE
"123","Man","Uitwonend",1563,1103,1573,1292,1051,243,1352,8177,FALSE
"124",NA,"Uitwonend",1537,1800,2686,818,3785,1840,4989,17455,FALSE
"125",NA,"Thuiswonend",6036,8976,11672,7524,9373,8237,7626,59444,FALSE
"126","Man","Uitwonend",5099,5219,4126,3744,2411,4214,5468,30281,FALSE
"127","Vrouw","Uitwonend",9034,7843,0,0,8585,1952,4380,31794,FALSE
"128","Man","Thuiswonend",3983,4243,1010,3279,3354,1804,4634,22307,FALSE
"129","Vrouw","Thuiswonend",11631,2414,4204,4636,3574,3356,6271,36086,TRUE
"130","Vrouw","Thuiswonend",1394,124,2374,1598,2581,5408,4814,18293,FALSE
"131","Vrouw","Thuiswonend",1304,9834,351,2374,341,2581,4222,21007,FALSE
"132","Vrouw","Thuiswonend",3270,3636,1328,1718,3172,3441,4154,20719,FALSE
"133","Man","Uitwonend",37,500,2165,1104,1947,1972,11237,18962,FALSE
"134","Vrouw","Uitwonend",6015,6127,8090,2133,10644,1024,3454,37487,FALSE
"135","Vrouw","Uitwonend",13264,9693,3145,12029,5083,10720,6570,60504,TRUE
"136","Man","Thuiswonend",2037,2564,688,2306,5362,2424,3888,19269,FALSE
"137",NA,"Uitwonend",970,132,65,60,62,70,64,1423,FALSE
"138","Man","Thuiswonend",986,2183,8670,1016,3626,1017,3033,20531,FALSE
"139","Vrouw","Thuiswonend",6319,9099,6922,9290,10042,5199,5255,52126,FALSE
"140","Vrouw","Thuiswonend",2008,902,519,4315,4907,480,6513,19644,FALSE
"141","Vrouw","Uitwonend",1002,4554,2142,805,8566,1409,5072,23550,FALSE
"142","Vrouw","Thuiswonend",53388,4492,0,1747,3382,1837,8846,73692,TRUE
"143","Vrouw","Thuiswonend",8321,2195,6038,5609,5077,6836,6874,40950,FALSE
